,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
65,181.16887352141453,1449.3509881713162,63.90972399711609,66,11200,89600,68.23453307151794,8.0,4.0,4.0,10,80,136.77011275291443
66,185.92461201467341,1487.3968961173873,64.98542881011963,67,11400,91200,69.0147705078125,8.0,4.0,4.0,10,80,138.69908905029297
67,178.59182420412324,1428.734593632986,66.10530090332031,68,11600,92800,69.74126482009888,12.0,6.0,6.0,10,80,140.62697863578796
68,169.56178288124178,1356.4942630499343,67.28481197357178,69,11800,94400,70.54001665115356,8.0,4.0,4.0,10,80,142.66835045814514
69,183.74604929723546,1469.9683943778837,68.37327075004578,70,12000,96000,71.29314804077148,6.0,3.0,3.0,10,80,144.57761979103088
70,185.43318765902043,1483.4655012721635,69.45182633399963,71,12200,97600,72.05901551246643,0.0,0.0,0.0,10,80,146.48188757896423
71,187.30211396244093,1498.4169116995274,70.51961994171143,72,12400,99200,72.81729555130005,1.8000000000000003,0.9000000000000001,0.9000000000000001,10,80,148.36435961723328
72,160.72759796334495,1285.8207837067596,71.76396131515503,73,12600,100800,73.64256238937378,4.0,2.0,2.0,10,80,150.5020158290863
73,176.86056457609777,1414.8845166087822,72.89479565620422,74,12800,102400,74.48219799995422,6.0,3.0,3.0,10,80,152.52707958221436
74,195.13741093197413,1561.099287455793,73.91971445083618,75,13000,104000,75.33226490020752,10.0,5.0,5.0,10,80,154.45613884925842
75,190.1238843383543,1520.9910747068343,74.97166013717651,76,13200,105600,76.1485493183136,5.799999999999999,2.8999999999999995,2.8999999999999995,10,80,156.38165926933289
76,174.07994687501622,1392.6395750001298,76.1205575466156,77,13400,107200,77.28399777412415,7.799999999999999,3.8999999999999995,3.8999999999999995,10,80,158.73286652565002
77,167.16501665949272,1337.3201332759418,77.3169801235199,78,13600,108800,78.07778263092041,15.8,7.9,7.9,10,80,160.8082070350647
78,190.63800698182683,1525.1040558546147,78.3660888671875,79,13800,110400,78.97682857513428,13.8,6.9,6.9,10,80,162.82034587860107
79,183.19313857333725,1465.545108586698,79.45783281326294,80,14000,112000,80.04070854187012,15.8,7.9,7.9,10,80,165.05714011192322
80,175.4408185306286,1403.5265482450288,80.59781837463379,81,14200,113600,80.7816219329834,15.8,7.9,7.9,10,80,166.99963688850403
81,193.68183069168126,1549.45464553345,81.63043975830078,82,14400,115200,81.618488073349,11.799999999999999,5.8999999999999995,5.8999999999999995,10,80,168.92417645454407
82,190.43045104546414,1523.443608363713,82.68069195747375,83,14600,116800,82.49656438827515,13.8,6.9,6.9,10,80,170.90680313110352
83,151.23721391771906,1209.8977113417525,84.00311779975891,84,14800,118400,83.37692999839783,15.8,7.9,7.9,10,80,173.16506147384644
84,178.37100052542058,1426.9680042033647,85.12437629699707,85,15000,120000,84.16034364700317,13.8,6.9,6.9,10,80,175.15091395378113
85,168.6900701477017,1349.5205611816136,86.30998253822327,86,15200,121600,84.89925169944763,9.799999999999999,4.8999999999999995,4.8999999999999995,10,80,177.13077330589294
86,182.01801865137202,1456.1441492109761,87.40877485275269,87,15400,123200,85.67042922973633,1.8000000000000003,0.9000000000000001,0.9000000000000001,10,80,179.08451628684998
87,172.61316526512658,1380.9053221210127,88.56743502616882,88,15600,124800,86.43533205986023,1.8000000000000003,0.9000000000000001,0.9000000000000001,10,80,181.06274557113647
