,sampling/learner/mean_reward,sampling/learner/learner/mean_reward,sampling/learner/partner/mean_reward,sampling/learner/episodes,sampling/learner/samples,sampling/partner/mean_reward,sampling/partner/response/mean_reward,sampling/partner/partner/mean_reward,sampling/partner/episodes,sampling/partner/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/learner/mean_reward,eval/learner/learner/mean_reward,eval/learner/partner/mean_reward,eval/learner/episodes,eval/learner/samples,eval/partner/mean_reward,eval/partner/response/mean_reward,eval/partner/partner/mean_reward,eval/partner/episodes,eval/partner/samples,total_time_s
86,2.28,1.14,1.14,100,1000,2.18,1.09,1.09,100,1000,235.96062882269018,2359.606288226902,76.72098541259766,87,17400,174000,31.160354137420654,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,115.91254758834839
87,2.28,1.14,1.14,100,1000,2.26,1.13,1.13,100,1000,227.77613954486088,2277.7613954486087,77.59904050827026,88,17600,176000,31.48661160469055,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,117.20037364959717
88,2.18,1.09,1.09,100,1000,2.14,1.07,1.07,100,1000,235.46434452999102,2354.6434452999106,78.44842600822449,89,17800,178000,31.816693544387817,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,118.48809313774109
89,2.22,1.11,1.11,100,1000,2.18,1.09,1.09,100,1000,239.0023713311393,2390.0237133113933,79.28523778915405,90,18000,180000,32.11396408081055,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,119.72886395454407
90,2.14,1.07,1.07,100,1000,2.16,1.08,1.08,100,1000,221.45806949974116,2214.5806949974117,80.18834328651428,91,18200,182000,32.43124842643738,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,121.03396415710449
91,2.38,1.19,1.19,100,1000,2.12,1.06,1.06,100,1000,234.11031411710138,2341.1031411710137,81.0426414012909,92,18400,184000,32.74445414543152,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,122.30935335159302
92,2.12,1.06,1.06,100,1000,2.16,1.08,1.08,100,1000,229.81203242339333,2298.1203242339334,81.91291785240173,93,18600,186000,33.04325342178345,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,123.58628964424133
93,2.1,1.05,1.05,100,1000,2.16,1.08,1.08,100,1000,204.42105247767017,2044.2105247767017,82.89129066467285,94,18800,188000,33.37536978721619,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,124.99838423728943
94,2.1,1.05,1.05,100,1000,2.16,1.08,1.08,100,1000,231.01921440433142,2310.1921440433143,83.75701951980591,95,19000,190000,33.66748118400574,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,126.25846862792969
95,2.14,1.07,1.07,100,1000,2.14,1.07,1.07,100,1000,204.17078909405902,2041.70789094059,84.73659157752991,96,19200,192000,33.9435179233551,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,127.59820365905762
96,2.22,1.11,1.11,100,1000,2.26,1.13,1.13,100,1000,245.89250340173544,2458.9250340173544,85.54995512962341,97,19400,194000,34.20314598083496,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,128.76268339157104
97,2.1,1.05,1.05,100,1000,2.08,1.04,1.04,100,1000,225.8880502626418,2258.880502626418,86.4353494644165,98,19600,196000,34.472614765167236,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,130.02622079849243
98,2.3,1.15,1.15,100,1000,2.16,1.08,1.08,100,1000,209.8839466931413,2098.839466931413,87.38825702667236,99,19800,198000,34.78279662132263,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,131.3739025592804
99,2.14,1.07,1.07,100,1000,2.18,1.09,1.09,100,1000,233.0231675686817,2330.231675686817,88.24654078483582,100,20000,200000,35.02611446380615,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,132.55097842216492
100,2.12,1.06,1.06,100,1000,2.22,1.11,1.11,100,1000,233.57558872068716,2335.7558872068716,89.1027946472168,101,20200,202000,35.25876331329346,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,133.7183861732483
101,2.08,1.04,1.04,100,1000,2.28,1.14,1.14,100,1000,243.317604498903,2433.17604498903,89.92476558685303,102,20400,204000,35.67595601081848,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,135.06610989570618
102,2.12,1.06,1.06,100,1000,2.2,1.1,1.1,100,1000,197.9225770162196,1979.225770162196,90.9352617263794,103,20600,206000,36.12576198577881,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,136.62801837921143
103,2.12,1.06,1.06,100,1000,2.22,1.11,1.11,100,1000,258.26684962834497,2582.6684962834497,91.70965456962585,104,20800,208000,36.47780203819275,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,137.86479783058167
104,2.0,1.0,1.0,100,1000,2.08,1.04,1.04,100,1000,199.88491009286065,1998.8491009286063,92.71023035049438,105,21000,210000,36.892085313797,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,139.3641037940979
105,2.14,1.07,1.07,100,1000,2.2,1.1,1.1,100,1000,212.42220233546195,2124.2220233546195,93.65175151824951,106,21200,212000,37.243025064468384,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,140.7304334640503
